Name,Gender,Age,Social Media Use Timings,Social Media Platform,City,State,Purchase Platform,Purchase Date,Clothing,Cosmetics,Laptops,TV,Groceries,Books,Fitness Equipment,Mobiles,Jewelry,Furniture,Shoes,Bags,Watches,Kitchenware,Gardening Tools,Pet Supplies,Sports Equipment,Toys,Stationery,Automobile Accessories,Home Decor,Electronics,Music Instruments,Cameras,Gaming Consoles,Smartwatches,Health Supplements,Travel Accessories,Art Supplies,Lighting Fixtures
Kavya Singh,Male,35,7:00 - 16:00,LinkedIn,Chennai,Gujarat,Amazon,30-04-2022,2964,0,0,0,0,0,14887,5531,6496,0,13590,1534,0,0,8375,13084,0,0,0,0,0,0,11158,0,0,0,0,0,0,0
Vivaan Verma,Female,33,14:00 - 15:00,LinkedIn,Jaipur,Tamil Nadu,Paytm Mall,03-06-2021,0,0,0,0,5601,14410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15140,0,0,15560,18379,0,0,0,0,15948
Diya Chauhan,Female,26,18:00 - 22:00,Snapchat,Ahmedabad,Rajasthan,Snapdeal,09-08-2020,0,11285,0,0,0,0,0,0,0,5817,7035,6657,10417,0,0,0,0,0,0,15430,0,0,0,0,10000,0,0,0,10000,0
Arjun Mishra,Male,38,12:00 - 16:00,Snapchat,Lucknow,Tamil Nadu,Local Market,10-08-2023,0,0,0,0,238,0,13521,0,4194,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,9407,0,0,0,0,0,0
Nisha Kumar,Male,59,6:00 - 21:00,Twitter,Mumbai,Telangana,Myntra,26-08-2021,0,0,0,0,0,0,0,0,2651,11900,0,0,0,0,0,7974,0,0,0,0,0,0,0,3740,0,0,0,2889,10000,0
Kavya Patel,Male,64,11:00 - 18:00,LinkedIn,Pune,Telangana,Flipkart,19-07-2020,0,17402,0,0,11751,0,0,0,18583,0,0,0,0,0,0,10245,0,0,18416,0,0,0,0,0,10000,0,0,5863,0,0
Vivaan Mehta,Female,35,21:00 - 24:00,Google,Bangalore,Uttar Pradesh,TataCliq,03-12-2021,0,16906,0,15139,0,0,9210,0,0,0,0,0,0,19799,0,0,0,4216,0,0,0,0,0,0,0,0,0,4587,0,13446
Diya Patel,Male,53,21:00 - 24:00,Snapchat,Kolkata,Delhi,Ajio,28-03-2023,0,5116,0,12377,18904,0,0,0,0,0,0,0,0,19218,9269,0,0,0,0,2422,9486,5000,0,0,0,0,0,0,0,0
Arjun Kumar,Male,28,10:00 - 20:00,Facebook,Delhi,Telangana,Ajio,03-02-2022,14545,9405,0,0,0,0,16677,0,16838,0,0,0,0,0,0,0,0,0,0,0,0,0,18862,4476,0,0,10000,0,0,17783
Arjun Mishra,Male,56,21:00 - 23:00,Twitter,Chennai,West Bengal,Snapdeal,24-02-2021,5900,930,0,0,0,14444,0,0,0,0,0,12770,0,0,0,0,0,0,0,13662,0,0,0,0,0,0,0,0,457,0
Nisha Gupta,Male,49,6:00 - 16:00,Google,Ahmedabad,Delhi,TataCliq,24-02-2022,0,13406,0,2541,0,0,0,0,0,0,0,0,0,0,0,19274,0,0,6110,0,0,0,13214,0,0,0,0,8206,10000,15686
Aarav Verma,Female,39,10:00 - 13:00,LinkedIn,Chennai,Rajasthan,TataCliq,23-09-2023,0,18646,0,0,16805,0,0,9262,0,15335,0,3419,0,0,0,0,0,7052,9353,0,0,16186,0,0,0,0,0,0,0,0
Arjun Verma,Female,56,19:00 - 20:00,Facebook,Kolkata,West Bengal,Local Market,19-12-2020,0,0,0,0,0,0,18735,0,15312,0,0,0,9133,12363,0,369,0,0,0,5120,0,0,14396,0,0,0,0,0,0,0
Aditya Mehta,Male,44,15:00 - 17:00,Google,Lucknow,Gujarat,Flipkart,14-10-2021,0,0,0,0,0,0,14955,0,0,0,0,0,0,0,13320,17923,0,5448,0,0,0,0,0,13123,0,17739,7415,0,0,0
Priya Verma,Male,40,7:00 - 23:00,Instagram,Kolkata,Uttar Pradesh,Amazon,21-09-2023,0,0,0,0,6400,0,0,0,0,0,0,207,0,1267,1925,0,0,0,0,7474,3717,11195,0,0,0,0,10000,0,0,0
Ananya Sharma,Male,40,19:00 - 22:00,Snapchat,Chennai,Delhi,Ajio,15-02-2022,0,0,0,8396,2733,0,0,18938,8377,0,0,0,0,18599,0,782,11417,0,0,0,0,0,0,0,10000,0,0,0,0,11515
Vivaan Sharma,Male,17,18:00 - 21:00,Twitter,Jaipur,Maharashtra,Flipkart,08-04-2023,0,0,0,0,0,0,0,0,0,0,0,0,12740,0,0,0,0,0,0,15020,0,0,0,11572,0,0,0,0,10000,0
Nisha Gupta,Female,59,14:00 - 24:00,Twitter,Ahmedabad,Maharashtra,Snapdeal,28-01-2023,0,0,0,0,0,18383,17654,496,0,0,0,0,0,0,0,0,0,0,0,0,4844,0,18257,0,10000,0,0,0,0,14206
Priya Singh,Male,19,7:00 - 10:00,Google,Chennai,West Bengal,Paytm Mall,24-01-2021,0,17520,0,0,0,0,0,0,0,0,0,0,6816,0,0,0,0,0,0,0,0,0,0,0,0,7810,0,0,745,5424
Arjun Jain,Male,66,6:00 - 24:00,Facebook,Pune,West Bengal,Local Market,30-09-2022,0,12588,0,0,0,0,18149,0,17963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14385
Aarav Verma,Male,40,12:00 - 16:00,Twitter,Bangalore,Rajasthan,Paytm Mall,22-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744,0,0,0,15050,0,0,5243,0,0,0,0,18888,2445,0
Vivaan Mehta,Male,25,7:00 - 17:00,Facebook,Bangalore,Delhi,Flipkart,30-03-2020,0,0,16531,0,0,0,0,0,0,0,0,0,0,0,1880,11070,3616,0,4678,0,0,0,0,0,0,0,0,0,0,0
Riya Verma,Male,46,19:00 - 23:00,Facebook,Chennai,Telangana,Myntra,15-08-2021,5597,0,0,0,7724,0,19869,0,19215,0,0,0,18856,19244,0,3644,0,0,7939,0,19375,0,0,0,12549,0,0,0,0,0
Kavya Patel,Male,47,19:00 - 22:00,Snapchat,Pune,Gujarat,Ajio,14-09-2020,0,0,0,0,0,0,4087,0,0,15464,0,0,1566,0,0,0,0,1307,0,0,9610,0,19712,0,0,0,9487,0,0,0
Diya Mishra,Male,55,21:00 - 22:00,LinkedIn,Chennai,Karnataka,Snapdeal,15-06-2022,15000,15058,18558,0,0,15754,12873,0,0,0,0,0,0,0,0,0,3320,0,0,0,0,5000,0,10693,16132,0,2202,0,0,0
Ananya Kumar,Male,66,14:00 - 20:00,Twitter,Jaipur,West Bengal,TataCliq,01-10-2023,0,0,0,18142,0,18616,0,0,0,0,0,0,0,0,0,0,5070,0,0,0,17186,0,0,0,0,0,0,18205,0,0
Kavya Mehta,Female,50,18:00 - 22:00,Instagram,Hyderabad,Delhi,TataCliq,13-05-2023,0,0,0,0,3417,0,0,0,0,0,0,0,0,18615,0,0,10210,0,14229,2125,0,0,0,0,0,0,0,0,2821,0
Kavya Mehta,Male,24,6:00 - 22:00,Snapchat,Bangalore,Telangana,Snapdeal,23-02-2023,2001,3817,0,0,0,0,0,0,9651,0,0,0,0,12662,0,0,7377,0,17109,0,0,0,0,0,0,0,0,592,0,0
Ananya Patel,Male,22,21:00 - 24:00,Snapchat,Bangalore,West Bengal,Myntra,17-07-2021,0,0,17143,0,0,0,0,0,0,0,18450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0
Vivaan Gupta,Male,58,8:00 - 13:00,Facebook,Lucknow,Rajasthan,Amazon,05-04-2021,3880,0,0,6255,19758,0,0,0,0,0,6976,0,0,0,0,0,0,0,0,0,0,0,0,7924,10000,0,0,0,0,0
Priya Chauhan,Male,38,11:00 - 20:00,Snapchat,Pune,Tamil Nadu,TataCliq,25-08-2023,0,0,2788,0,0,0,0,0,0,0,18393,0,0,0,0,0,0,6156,0,0,0,0,0,0,0,0,0,0,0,0
Ananya Sharma,Female,67,19:00 - 21:00,Google,Delhi,Maharashtra,Local Market,18-01-2020,0,0,0,10024,0,14679,0,0,0,0,8322,0,17538,0,16288,0,0,0,14373,0,0,0,0,0,0,0,0,0,0,0
Ananya Verma,Male,32,11:00 - 15:00,LinkedIn,Pune,Tamil Nadu,Amazon,14-04-2020,0,19822,6710,0,0,0,0,0,0,0,0,0,0,0,0,0,6739,8048,0,13112,0,0,0,0,0,4980,0,7161,0,0
Ananya Kumar,Male,53,19:00 - 23:00,Instagram,Pune,West Bengal,Flipkart,11-07-2021,0,0,0,0,0,0,0,0,0,15696,0,0,0,0,0,0,2569,0,0,0,0,0,0,0,0,2000,0,16490,978,0
Aarav Singh,Male,17,17:00 - 18:00,LinkedIn,Mumbai,Maharashtra,Flipkart,01-09-2020,3448,14155,0,0,0,0,0,0,0,0,9970,9597,0,0,0,0,19078,0,0,16175,0,0,0,4236,0,6459,0,0,0,0
Riya Chauhan,Male,59,14:00 - 19:00,Twitter,Lucknow,Telangana,Flipkart,02-04-2023,0,0,7609,0,16486,764,0,0,0,0,0,0,0,0,0,11567,0,0,0,0,0,0,13297,0,16509,0,0,1280,0,0
Arjun Verma,Male,20,14:00 - 17:00,Snapchat,Hyderabad,Delhi,Flipkart,09-12-2022,0,0,0,16038,0,0,15298,0,0,0,0,0,19986,0,923,0,17084,0,0,0,6972,0,0,0,0,19045,0,0,0,0
Diya Chauhan,Male,41,10:00 - 13:00,Google,Lucknow,Uttar Pradesh,Ajio,16-08-2023,15000,0,0,0,0,3976,4432,0,0,11519,0,0,0,17372,9401,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0
Aarav Kumar,Male,65,19:00 - 20:00,Twitter,Mumbai,West Bengal,Amazon,04-05-2020,15000,0,0,0,0,0,0,0,0,12118,0,0,0,105,0,19174,0,0,0,0,0,0,0,0,0,0,0,5098,0,0
Aditya Verma,Male,20,19:00 - 20:00,Snapchat,Jaipur,Maharashtra,Flipkart,24-07-2021,0,0,0,0,0,0,14919,0,0,2570,16743,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riya Mehta,Female,70,9:00 - 17:00,Facebook,Ahmedabad,Karnataka,Snapdeal,27-04-2023,0,0,0,0,0,0,0,0,0,0,0,2581,0,0,8962,18641,0,0,0,0,0,0,12967,0,0,4274,1927,0,0,0
Vivaan Patel,Male,61,13:00 - 19:00,Twitter,Kolkata,Maharashtra,Paytm Mall,26-02-2023,0,0,0,0,0,0,0,0,0,0,0,0,14338,0,0,0,0,0,0,0,0,0,0,0,0,15632,10000,7445,0,0
Aarav Patel,Male,42,21:00 - 23:00,Facebook,Lucknow,Telangana,Flipkart,22-03-2022,0,0,17596,0,18890,0,3022,0,7889,0,0,19185,0,0,0,0,0,0,15890,0,0,15842,0,0,0,3166,1320,0,10000,3634
Riya Verma,Male,52,20:00 - 23:00,Facebook,Kolkata,West Bengal,Paytm Mall,30-05-2023,0,0,11414,13878,0,0,0,19570,0,0,0,0,0,6271,0,0,0,10412,0,0,0,0,0,0,0,0,0,0,9622,0
Nisha Kumar,Female,63,15:00 - 22:00,Twitter,Kolkata,Gujarat,Flipkart,23-08-2023,0,17387,0,0,8790,0,0,0,0,15782,0,0,0,0,0,0,0,0,0,0,7729,0,0,0,0,0,4091,0,10000,0
Kavya Gupta,Male,34,5:00 - 22:00,Snapchat,Jaipur,Gujarat,Myntra,20-04-2023,0,0,0,0,0,0,0,0,0,942,0,0,4910,0,0,16703,0,1457,6819,0,0,0,0,0,18945,0,0,0,0,0
Arjun Mehta,Female,34,10:00 - 17:00,Facebook,Bangalore,Delhi,Ajio,03-08-2020,0,15895,0,0,0,0,0,8263,11253,14817,0,12956,0,0,0,0,4657,10478,0,0,0,0,13412,0,0,0,4900,0,0,0
Priya Sharma,Male,45,22:00 - 23:00,LinkedIn,Chennai,Uttar Pradesh,Snapdeal,14-09-2022,0,12764,0,0,7111,11277,0,0,0,0,0,0,3205,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,7014,0
Aditya Chauhan,Male,42,8:00 - 21:00,LinkedIn,Bangalore,Karnataka,Local Market,19-02-2020,0,0,0,1426,0,0,0,15747,0,0,0,0,0,0,0,13665,0,0,0,0,0,5000,0,0,10000,0,5535,0,0,0
Arjun Patel,Male,66,12:00 - 16:00,Twitter,Hyderabad,Gujarat,Flipkart,07-09-2023,0,2711,0,0,0,0,238,0,0,0,7270,1384,16066,0,0,0,16996,0,0,0,0,0,0,0,0,0,7330,3759,8795,15036
Riya Chauhan,Male,47,15:00 - 16:00,Google,Jaipur,West Bengal,Myntra,24-08-2023,0,13848,0,0,0,0,0,0,0,0,0,6824,393,0,15294,0,0,0,8502,5232,0,0,0,0,0,0,0,16822,0,0
Vivaan Mishra,Female,52,21:00 - 23:00,Twitter,Mumbai,West Bengal,Local Market,22-05-2022,0,0,0,0,0,0,0,0,0,0,0,0,7167,0,0,0,0,19786,0,0,0,0,0,5029,0,0,0,0,9563,0
Arjun Patel,Male,47,15:00 - 19:00,Snapchat,Mumbai,Karnataka,Local Market,28-06-2021,0,0,0,0,0,8070,0,0,4904,0,67,12756,0,0,0,0,0,14961,0,0,0,0,0,0,0,4481,0,11429,0,0
Diya Mehta,Female,41,7:00 - 20:00,Twitter,Mumbai,Uttar Pradesh,Flipkart,15-04-2023,1648,0,0,137,13262,0,0,0,0,0,0,0,0,0,0,0,0,0,4620,0,0,0,0,0,10000,0,0,0,0,0
Ananya Jain,Female,31,14:00 - 16:00,Snapchat,Mumbai,Karnataka,Amazon,26-07-2021,0,0,0,5522,0,0,0,0,0,1040,0,0,0,0,0,0,0,7663,10326,0,0,0,0,0,0,0,0,4322,10000,0
Arjun Mishra,Male,70,9:00 - 18:00,Google,Hyderabad,Rajasthan,Myntra,12-07-2021,0,17608,12605,0,0,0,19701,0,0,0,11861,0,8452,0,0,0,0,0,0,0,0,0,0,0,16757,0,0,16557,0,0
Ananya Patel,Female,58,6:00 - 10:00,Snapchat,Ahmedabad,Maharashtra,Amazon,10-11-2022,0,0,0,0,0,0,0,18663,0,4965,4535,196,0,0,12816,0,0,0,0,1133,10109,0,0,0,10000,18269,0,0,0,0
Ananya Kumar,Female,70,12:00 - 15:00,LinkedIn,Mumbai,Karnataka,Myntra,08-11-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Verma,Female,44,15:00 - 19:00,Snapchat,Ahmedabad,Rajasthan,Flipkart,06-05-2021,0,1290,10781,0,0,1625,13083,0,0,0,6419,0,0,11921,0,4019,13575,0,0,0,0,0,16691,0,0,0,0,0,0,0
Diya Mehta,Female,25,12:00 - 20:00,Twitter,Delhi,Gujarat,Local Market,14-11-2021,0,0,0,984,0,17532,0,0,0,19825,0,0,0,3407,10483,0,0,0,0,0,18463,0,7598,16120,10000,0,0,0,0,0
Aditya Verma,Female,27,11:00 - 12:00,Facebook,Lucknow,Delhi,Ajio,07-04-2021,0,17429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,7429,0
Vivaan Mehta,Female,52,12:00 - 16:00,LinkedIn,Hyderabad,Delhi,Amazon,22-07-2022,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4818,13870,18734,0,0,0,0,0,0,0,0,982,0,6313
Aditya Chauhan,Male,31,22:00 - 24:00,Google,Delhi,Uttar Pradesh,Flipkart,02-05-2021,7929,0,0,0,0,0,0,0,0,0,3573,0,2404,0,0,0,0,0,0,0,0,0,16961,3798,0,0,0,0,0,15579
Arjun Mehta,Male,27,13:00 - 15:00,LinkedIn,Chennai,Gujarat,Paytm Mall,05-08-2020,3391,0,0,0,0,0,0,13634,0,0,17043,12675,0,0,0,0,0,19592,0,7335,15042,0,18910,0,0,0,0,0,0,1000
Riya Kumar,Female,43,15:00 - 16:00,Twitter,Delhi,Maharashtra,Paytm Mall,29-06-2022,14512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17021,0,0,0,0,10508,2096,0,0,2000,0,0,0,0
Ananya Chauhan,Male,62,19:00 - 21:00,Snapchat,Pune,Delhi,TataCliq,03-08-2021,0,0,0,0,0,0,0,0,8996,0,0,0,0,0,0,0,0,0,0,0,2032,0,2197,0,0,0,10000,0,0,0
Aarav Mehta,Female,42,22:00 - 23:00,Facebook,Mumbai,Gujarat,Snapdeal,29-06-2023,0,0,0,0,0,6725,0,0,19050,0,5725,0,0,0,0,0,0,0,15221,2895,0,0,0,17880,0,0,0,0,0,0
Diya Mehta,Female,70,11:00 - 14:00,Google,Mumbai,Rajasthan,Paytm Mall,10-02-2020,0,0,0,0,0,0,8110,10678,0,0,11779,3998,14727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0
Aditya Mehta,Male,56,14:00 - 22:00,Facebook,Pune,Telangana,Myntra,10-03-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14812,0,0,0,0,0,9628,0,0,0,0,3062,0,0,0,0
Nisha Mishra,Female,30,8:00 - 24:00,Snapchat,Ahmedabad,Tamil Nadu,Amazon,10-01-2020,15000,0,0,11339,2072,18007,0,0,0,0,0,0,0,0,0,0,0,12438,16502,0,0,0,11347,0,0,18674,666,0,0,6486
Diya Verma,Female,36,7:00 - 16:00,Facebook,Mumbai,Delhi,Flipkart,16-03-2020,3190,0,0,0,0,0,0,0,0,0,5237,13361,0,872,0,0,0,0,0,6914,0,0,1000,0,0,0,0,0,0,15523
Diya Mishra,Male,20,22:00 - 24:00,Twitter,Mumbai,Telangana,Amazon,09-03-2023,0,10387,0,494,0,0,0,0,0,0,1236,0,0,0,0,0,0,5200,0,0,0,0,0,0,10000,0,0,0,0,0
Nisha Kumar,Female,46,9:00 - 17:00,Twitter,Ahmedabad,Karnataka,Flipkart,04-04-2022,0,9199,0,0,0,0,0,334,0,0,9553,0,0,0,0,0,0,0,0,0,15318,0,0,0,0,3263,4506,0,0,1260
Arjun Chauhan,Male,44,14:00 - 18:00,LinkedIn,Bangalore,Rajasthan,Flipkart,29-04-2022,0,0,0,0,14478,0,4382,0,1816,0,0,0,0,1707,0,6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Gupta,Female,22,22:00 - 24:00,LinkedIn,Pune,Tamil Nadu,Flipkart,26-07-2022,0,9125,0,0,1831,0,0,0,0,0,8615,0,19898,0,0,0,0,0,0,0,4413,0,0,0,0,0,0,0,0,0
Riya Sharma,Male,39,18:00 - 20:00,Google,Hyderabad,West Bengal,Amazon,29-09-2022,14861,0,17269,12173,0,10986,0,0,0,11945,7754,0,0,7734,6343,0,0,0,0,5528,0,0,0,0,0,0,0,0,0,15385
Vivaan Verma,Male,32,5:00 - 12:00,Instagram,Ahmedabad,Gujarat,Ajio,08-05-2020,4330,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,7471,15317,0,0,0,0,0,12931,0,571
Diya Sharma,Male,32,6:00 - 7:00,Snapchat,Pune,West Bengal,Snapdeal,01-04-2023,0,0,0,16412,0,0,0,0,0,0,0,0,0,10165,0,0,0,4897,19102,0,0,0,12539,3000,12859,0,0,0,0,0
Aarav Verma,Female,67,15:00 - 16:00,Snapchat,Mumbai,Rajasthan,Snapdeal,14-06-2021,0,0,0,0,0,0,0,11308,5403,0,10579,0,0,0,0,0,9416,0,0,14063,0,0,0,0,0,0,0,0,0,0
Priya Mishra,Female,66,12:00 - 17:00,Twitter,Chennai,Rajasthan,Local Market,26-03-2020,0,15063,0,0,0,0,0,0,0,0,7963,5009,0,0,0,0,0,0,0,0,0,0,0,12964,0,0,0,0,0,0
Riya Jain,Female,59,22:00 - 23:00,Instagram,Chennai,Maharashtra,Flipkart,16-01-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16090,1997,0,0,0,0,4802,0,0,0,6876,0,1823,0
Vivaan Jain,Female,50,18:00 - 19:00,Google,Hyderabad,Karnataka,Local Market,17-07-2021,0,0,0,2873,0,13414,0,0,10734,0,0,0,8432,0,0,0,0,0,0,5923,14511,0,0,19292,0,0,0,0,0,16228
Ananya Singh,Male,19,11:00 - 23:00,Snapchat,Hyderabad,Telangana,Snapdeal,17-03-2022,5781,0,0,0,0,0,0,0,0,0,13025,0,0,0,0,0,0,0,0,0,4473,0,0,0,0,0,0,0,10000,0
Riya Patel,Female,38,16:00 - 22:00,Instagram,Mumbai,Tamil Nadu,Snapdeal,16-07-2021,0,13969,0,0,0,4251,0,0,0,0,0,0,0,0,15295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Kumar,Male,70,19:00 - 20:00,Snapchat,Delhi,Maharashtra,Amazon,25-02-2020,0,0,0,0,10215,0,0,1888,0,0,0,0,0,17194,0,0,8309,0,0,0,0,5000,0,0,10000,0,0,7627,0,18835
Aarav Mehta,Female,44,6:00 - 20:00,Instagram,Kolkata,West Bengal,Flipkart,26-02-2020,0,0,0,0,0,14938,0,15556,0,758,0,0,13993,0,12743,0,6396,3584,0,0,2586,0,15971,18626,0,0,0,0,0,0
Ananya Jain,Female,61,15:00 - 20:00,Twitter,Delhi,Rajasthan,Myntra,05-04-2020,14002,0,0,0,0,4362,0,16347,0,0,0,1423,11974,0,12747,0,0,0,0,0,0,0,0,0,0,0,0,0,7572,0
Diya Chauhan,Male,60,6:00 - 8:00,Snapchat,Hyderabad,Delhi,Snapdeal,19-03-2021,0,0,0,15581,0,0,0,0,0,0,0,1469,0,10358,0,0,0,0,0,0,0,0,0,0,0,0,0,12603,0,0
Priya Chauhan,Female,60,9:00 - 18:00,Twitter,Lucknow,Uttar Pradesh,Local Market,27-09-2022,0,0,11844,0,0,0,0,0,0,0,0,9557,6080,0,0,0,17530,0,0,0,17977,0,0,0,0,0,0,0,0,0
Aditya Verma,Male,20,13:00 - 20:00,LinkedIn,Delhi,Delhi,Snapdeal,14-08-2023,0,0,0,0,0,7669,3640,14896,0,0,0,0,0,0,0,0,0,8434,19815,0,18818,0,0,0,0,10123,0,0,0,0
Vivaan Mehta,Female,25,9:00 - 24:00,Google,Pune,Maharashtra,Snapdeal,29-07-2021,0,0,0,0,0,0,0,0,0,0,0,0,12744,0,0,11133,0,0,0,0,0,0,2818,16383,0,0,0,9503,0,0
Riya Mehta,Female,43,16:00 - 17:00,Twitter,Pune,Rajasthan,TataCliq,19-12-2021,0,8783,7690,0,0,0,0,3751,1581,0,0,0,18044,14837,0,18489,0,0,6727,0,5545,0,0,0,0,0,0,0,0,0
Aditya Jain,Male,40,21:00 - 22:00,Snapchat,Jaipur,Delhi,Snapdeal,26-10-2023,5706,14764,0,0,5341,16582,0,0,314,7156,6789,0,0,0,0,0,0,0,12902,6521,0,5000,0,19952,0,0,0,9211,7190,0
Aditya Jain,Female,63,22:00 - 24:00,LinkedIn,Lucknow,Telangana,Local Market,22-11-2021,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,859,0,0,18637,0,9834,0,16822,0,0,0,0,0
Vivaan Mehta,Female,56,17:00 - 18:00,Google,Ahmedabad,West Bengal,Local Market,28-05-2022,0,0,0,0,0,3607,0,0,0,0,0,18804,0,0,0,0,0,0,14177,6667,0,0,0,0,10000,0,10000,0,0,0
Vivaan Jain,Female,55,6:00 - 8:00,Twitter,Kolkata,Tamil Nadu,Local Market,28-04-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8629,0,0,17732,0,0,0,0,0,0,0,0,0,5668,0
Priya Kumar,Male,55,7:00 - 14:00,LinkedIn,Lucknow,Telangana,Paytm Mall,17-03-2022,0,0,9263,0,0,0,0,0,11990,0,0,0,0,0,0,0,0,3182,510,0,0,8354,0,0,15959,0,9023,0,0,0
Arjun Sharma,Male,17,20:00 - 22:00,LinkedIn,Mumbai,West Bengal,Flipkart,04-02-2022,0,0,0,0,0,0,0,0,8943,0,0,10708,0,0,0,13773,10078,0,0,0,19411,0,6218,0,0,0,0,0,0,5654
Riya Sharma,Female,65,16:00 - 22:00,Google,Chennai,Delhi,Local Market,09-04-2023,0,0,0,0,0,5317,0,10696,0,0,0,0,0,0,0,8923,0,11638,4607,0,0,0,0,0,0,16652,0,0,0,11434
Diya Sharma,Female,38,5:00 - 24:00,Facebook,Chennai,Karnataka,Flipkart,20-03-2021,0,4879,0,0,0,0,0,0,0,0,6801,0,0,0,0,0,0,0,0,0,0,0,5220,8396,0,15034,0,0,0,0
Aarav Mehta,Male,22,11:00 - 16:00,Facebook,Hyderabad,Delhi,Ajio,30-11-2020,0,0,2041,0,19507,0,17489,0,0,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0
Nisha Sharma,Female,69,9:00 - 10:00,Snapchat,Lucknow,Uttar Pradesh,Amazon,17-05-2021,0,0,0,0,16748,0,0,0,0,0,0,0,6512,0,0,0,0,15592,0,0,0,0,0,0,0,8583,0,0,0,0
